[RC108A_DIAGNOSTIC] Repo: OWASP, Filename: Test_CWE_22.java, Virtual __init__.py Count: 0
[RC108A_DIAGNOSTIC] Repo: OWASP, Filename: Test_CWE_22.java, Virtual __init__.py Count: 0
[RC108A_DIAGNOSTIC] Repo: OWASP, Filename: Test_CWE_328.java, Virtual __init__.py Count: 0
[RC108A_DIAGNOSTIC] Repo: OWASP, Filename: Test_CWE_501.java, Virtual __init__.py Count: 0
[RC108A_DIAGNOSTIC] Repo: OWASP, Filename: Test_CWE_327.java, Virtual __init__.py Count: 0
[RC108A_DIAGNOSTIC] Repo: OWASP, Filename: Test_CWE_78.java, Virtual __init__.py Count: 0
[RC108A_DIAGNOSTIC] Repo: OWASP, Filename: Test_CWE_78.java, Virtual __init__.py Count: 0
[RC108A_DIAGNOSTIC] Repo: OWASP, Filename: Test_CWE_89.java, Virtual __init__.py Count: 0
[RC108A_DIAGNOSTIC] Repo: OWASP, Filename: Test_CWE_328.java, Virtual __init__.py Count: 0
[RC108A_DIAGNOSTIC] Repo: OWASP, Filename: Test_CWE_330.java, Virtual __init__.py Count: 0
[RC108A_DIAGNOSTIC] Repo: OWASP, Filename: Test_CWE_22.java, Virtual __init__.py Count: 0
[FN_DIAGNOSTIC] Repo: OWASP, CWE: CWE-22, Commit: 
[RC108A_DIAGNOSTIC] Repo: OWASP, Filename: Test_CWE_90.java, Virtual __init__.py Count: 0
[RC108A_DIAGNOSTIC] Repo: OWASP, Filename: Test_CWE_79.java, Virtual __init__.py Count: 0
[RC108A_DIAGNOSTIC] Repo: OWASP, Filename: Test_CWE_79.java, Virtual __init__.py Count: 0
[RC108A_DIAGNOSTIC] Repo: OWASP, Filename: Test_CWE_78.java, Virtual __init__.py Count: 0
[RC108A_DIAGNOSTIC] Repo: OWASP, Filename: Test_CWE_614.java, Virtual __init__.py Count: 0
[RC108A_DIAGNOSTIC] Repo: OWASP, Filename: Test_CWE_78.java, Virtual __init__.py Count: 0
[RC108A_DIAGNOSTIC] Repo: OWASP, Filename: Test_CWE_89.java, Virtual __init__.py Count: 0
[RC108A_DIAGNOSTIC] Repo: OWASP, Filename: Test_CWE_327.java, Virtual __init__.py Count: 0
[RC108A_DIAGNOSTIC] Repo: OWASP, Filename: Test_CWE_327.java, Virtual __init__.py Count: 0
[RC108A_DIAGNOSTIC] Repo: OWASP, Filename: Test_CWE_90.java, Virtual __init__.py Count: 0
[RC108A_DIAGNOSTIC] Repo: OWASP, Filename: Test_CWE_328.java, Virtual __init__.py Count: 0
